Rank,Organisation ID,Organisation name,Approved invoice total,Invoice count,First invoice date,Last invoice date
1,800014,Suorakorvaus Kela,108031.75,91,2025-06-04 00:00:00,2026-05-28 00:00:00
2,102213,Marest Holding OÜ,22531.87,13,2025-06-01 00:00:00,2026-05-16 00:00:00
3,103269,Puistolakoti Oy,15084.83,22,2025-06-01 00:00:00,2026-05-16 00:00:00
4,104236,Rakennusmoodi Oy,11644.3,49,2025-06-05 00:00:00,2026-05-25 00:00:00
5,102780,Suomen Palokatko ja Saumaus Oy,10803.21,56,2025-06-25 00:00:00,2026-05-27 00:00:00
6,105845,Real Clean Finland Oy,10510.47,51,2025-05-30 00:00:00,2026-05-08 00:00:00
7,105047,Asbeston Oü,9850.82,16,2025-06-17 00:00:00,2026-05-16 00:00:00
8,102685,Restolution Oy,8731.27,8,2025-06-01 00:00:00,2026-05-24 00:00:00
9,103045,Savarus Oy,8574.04,20,2025-06-03 00:00:00,2026-05-16 00:00:00
10,101109,Medimatkat OY,8390.3,16,2025-06-16 00:00:00,2026-05-16 00:00:00
11,100523,MirLux Oy,8247.45,20,2025-06-01 00:00:00,2026-05-16 00:00:00
12,106931,Heavy service oü,8226.97,19,2025-07-16 00:00:00,2026-05-05 00:00:00
13,105554,DATE TRANS Oy,8074.73,30,2025-06-02 00:00:00,2026-05-25 00:00:00
14,103182,Ippon Group Oü,7854.89,19,2025-09-01 00:00:00,2026-05-26 00:00:00
15,101443,IC siivous Oy,7713.26,20,2025-06-27 00:00:00,2026-05-28 00:00:00
16,800051,Norre Työterveys Oulu Oy,7432.76,14,2025-07-01 00:00:00,2026-05-16 00:00:00
17,106316,TA Haapaniemi Oy,7316.5,7,2025-07-03 00:00:00,2025-11-19 00:00:00
18,107885,Tampereen Tulkkikeskus Oy,7277.7,11,2025-12-18 00:00:00,2026-05-18 00:00:00
19,107382,Valtsikan kyläkauppa,6898.0,9,2025-08-04 00:00:00,2026-05-13 00:00:00
20,800009,Pohjola / OP Vakuutus,6880.3,74,2025-06-02 00:00:00,2026-05-22 00:00:00
21,105458,Jehovan todistajat,6786.94,16,2025-06-01 00:00:00,2026-05-16 00:00:00
22,100621,Espoon Express Palvelut Oy,6758.7,19,2025-06-01 00:00:00,2026-05-16 00:00:00
23,106541,Kuonola Oy,6609.76,22,2025-06-11 00:00:00,2026-04-20 00:00:00
24,100611,Elämäsi Adato Oy,6507.9,4,2025-09-01 00:00:00,2026-05-01 00:00:00
25,105280,Betonirakennus OÜ,6462.3,6,2025-06-16 00:00:00,2025-11-01 00:00:00
26,107358,Labo Line Oy,6359.0,8,2025-07-28 00:00:00,2026-03-17 00:00:00
27,104382,Kalamakasiini Oy,6342.35,8,2025-09-08 00:00:00,2026-05-28 00:00:00
28,107711,Mailia Oy,6302.39,9,2025-10-28 00:00:00,2026-05-14 00:00:00
29,106793,Eläinsairaala Huoma Oy,6090.0,8,2025-07-07 00:00:00,2026-04-14 00:00:00
30,105333,BAFO Talotekniikka Oy,5845.42,20,2025-08-29 00:00:00,2026-05-28 00:00:00
31,102267,Karun-palvelut Oy,5576.91,12,2025-07-01 00:00:00,2026-05-01 00:00:00
32,107027,AIATELLA Oy,5439.85,7,2025-06-16 00:00:00,2026-03-21 00:00:00
33,105939,Kontulankaaren apteekki / Leena Sugander,5348.92,11,2025-06-01 00:00:00,2026-05-01 00:00:00
34,106522,K-S Turvamiehet Oy,5265.0,6,2025-06-09 00:00:00,2025-11-11 00:00:00
35,106340,Länsimäen Kiinteistöpalvelu Oy,5065.0,7,2025-07-02 00:00:00,2026-02-05 00:00:00
36,106876,Ldvhitsaus Oy,4931.36,24,2025-06-02 00:00:00,2026-05-11 00:00:00
37,104682,Zyntax Oy,4831.5,4,2025-06-10 00:00:00,2026-04-17 00:00:00
38,102700,Renkolm OÜ,4826.0,3,2025-06-16 00:00:00,2026-03-16 00:00:00
39,102435,Ltm Team Oy,4752.0,9,2025-06-27 00:00:00,2025-12-02 00:00:00
40,105925,Laatusähkäri Oy,4744.02,10,2025-06-16 00:00:00,2025-12-12 00:00:00
41,103708,Hagmark OÜ,4680.0,2,2025-10-29 00:00:00,2025-11-27 00:00:00
42,106079,diini oy,4638.0,10,2025-11-27 00:00:00,2026-04-14 00:00:00
